iso3,country,yl,K,ky_ratio,hc,hc_bl,yr_sch,mining_va,governance,openness,social_infra,distancefromeq,fr_trade,english_frac,we_lang_frac,kapw_nonres
FIN,FINLAND,26137.0,29106.586466,1.113616,2.392479,2.392479,7.33,0.00391,0.935278,0.790698,0.862988,0.668556,21.64,0.0,0.0,29106.586466
FJI,FIJI,10068.0,27153.190016,2.69698,2.256353,2.256353,6.75,0.007953,,0.0,,0.201444,18.56,0.0082,0.0082,
FRA,FRANCE,29130.0,23344.091327,0.801376,2.224673,2.224673,6.61,0.002417,0.866528,0.790698,0.828613,0.543,15.26,0.0015,0.009098,23344.091327
GAB,GABON,7092.0,36255.509181,5.11217,1.545736,1.545736,3.25,0.320283,0.47875,0.0,0.239375,0.004333,30.65,0.0,0.0279,
GBR,U.K.,26359.0,13017.905746,0.493869,2.62878,2.62878,8.39,0.0,0.847222,0.790698,0.81896,0.572222,13.47,0.7544,0.7544,13017.905746
GHA,GHANA,1884.0,1979.661066,1.050776,1.712613,1.712613,4.02,0.016895,0.464306,0.162791,0.313548,0.061667,18.87,0.0,0.0,
GIN,GUINEA,1651.0,1271.970743,0.770424,,,,0.208577,0.424722,0.139535,0.282129,0.105889,23.95,0.0,0.0,
GMB,GAMBIA,1718.0,111.89,0.065128,1.135758,1.135758,0.95,0.000126,0.508333,0.162791,0.335562,0.149444,52.2,0.0,0.0,111.89
GNB,GUINEA-BISS,1390.0,72.96,0.052489,,,,0.001137,0.252361,0.139535,0.195948,0.131667,42.24,0.0,0.0,72.96
GRC,GREECE,16899.0,15858.792402,0.938446,2.378024,2.378024,7.27,0.005968,0.635556,0.790698,0.713127,0.422,27.01,0.0,0.0,15858.792402
GRD,GRENADA,6013.0,8999.570126,1.496686,,,,0.0,,0.0,,0.133889,81.25,0.7462,0.7462,
GTM,GUATEMALA,7451.0,3634.981308,0.487851,1.439765,1.439765,2.72,0.005305,0.307917,0.372093,0.340005,0.162444,22.04,0.0975,0.5785,3634.981308
GUY,GUYANA,4081.0,17775.676407,4.355716,2.158277,2.158277,6.31,0.099956,0.288889,0.093023,0.190956,0.075556,25.92,0.7134,0.7134,
HKG,HONG KONG,21553.0,8169.889968,0.37906,2.468572,2.468572,7.64,0.0,0.631667,1.0,0.815833,0.247556,35.88,0.0246,0.0246,8169.889968
HND,HONDURAS,4660.0,3719.704562,0.79822,1.644013,1.644013,3.71,0.004281,0.35375,0.302326,0.328038,0.156667,27.58,0.1455,0.8633,3719.704562
