iso3,country,yl_adj,ky_ratio,hc,social_infra,si_was_imputed,distancefromeq,fr_trade,english_frac,we_lang_frac
LAO,LAOS,2547.0,0.434709,1.401692,0.31419417625571533,True,0.199667,27.32,0.0,0.0
LKA,SRI LANKA,5394.07314,1.297468,2.297749,0.385221,False,0.076889,13.94,0.0,0.0
MAR,MOROCCO,6651.195848,0.217034,1.242443,0.451286,False,0.378,12.71,0.0,0.0075
MEX,MEXICO,14211.557906,0.504692,1.852989,0.331156,False,0.215889,4.52,0.138,0.8188
MLI,MALI,1243.72263,0.976932,1.075042,0.16152,False,0.140556,12.8,0.0,0.0
MLT,MALTA,17021.0,2.099035,2.378024,0.29375,False,0.398889,98.14,0.0,0.0
MOZ,MOZAMBIQUE,1506.470916,0.053068,1.117641,0.242431,False,0.288556,11.11,0.0,0.07
MRT,MAURITANIA,1709.020685,0.059572,1.305596,0.3145103737861701,True,0.200778,23.44,0.0,0.0093
MUS,MAURITIUS,9268.848774,0.192462,1.858612,0.3262085067500762,True,0.223889,31.11,0.0,0.0372
MWI,MALAWI,1124.12892,0.294687,1.321437,0.190625,False,0.155222,12.67,0.0164,0.0164
MYS,MALAYSIA,9325.789875,2.979918,1.984724,0.67224,False,0.035,16.82,0.0082,0.0082
NER,NIGER,1016.992246,1.460583,1.076484,0.251181,False,0.150222,12.37,0.0,0.0
NIC,NICARAGUA,4623.417792,2.623582,1.626483,0.382104,False,0.134778,23.46,0.1305,0.7743
NLD,NETHERLANDS,28564.221672000003,0.730011,2.91503,0.859377,False,0.581889,35.84,0.0,0.0
NOR,NORWAY,25262.814427999998,1.279345,2.867842,0.842189,False,0.665778,23.54,0.0,0.0
NZL,NEW ZEALAND,25252.660575,1.017031,3.252292,0.525115,False,0.458889,8.19,0.803895,0.803895
PAK,PAKISTAN,4449.1863060000005,1.121184,1.323209,0.197639,False,0.374111,8.04,0.0,0.0
PAN,PANAMA,7886.9196,1.841452,2.229172,0.149792,False,0.099667,23.56,0.1155,0.6853
PER,PERU,7961.550608,1.063424,2.056139,0.406277,False,0.133889,7.03,0.12,0.712
PHL,PHILIPPINES,4485.747035,0.635868,2.136588,0.234567,False,0.162222,8.84,0.0328,0.0328
PNG,PAPUA N.GUINEA,3004.8050959999996,2.209573,1.269369,0.308333,False,0.104778,10.17,0.0164,0.0164
POL,POLAND,8421.248955000001,1.007653,2.60919,0.331832,False,0.580556,13.84,0.0,0.0098
PRT,PORTUGAL,13270.368400000001,0.374844,1.799502,0.757432,False,0.430222,18.78,0.0,0.0
PRY,PARAGUAY,6019.0443239999995,0.130619,1.94111,0.203842,False,0.280889,10.43,0.009,0.07
QAT,QATAR,21093.632708,4.734699,1.88508,0.212014,False,0.280889,69.56,0.0,0.0084
ROU,ROMANIA,4060.06506,2.468182,2.632358,0.209514,False,0.493667,18.8,0.0,0.0
RWA,RWANDA,1514.211754,0.614582,1.224264,0.2937406702817804,True,0.021667,26.2,0.0,0.0
SAU,SAUDI ARABIA,16462.17248,2.513095,1.836222,0.264028,False,0.274222,14.98,0.0,0.0089
SDN,SUDAN,2295.572682,1.023977,1.157266,0.117431,False,0.172778,10.97,0.0,0.0041
SEN,SENEGAL,2534.572392,0.805822,1.360973,0.246875,False,0.163556,19.87,0.0,0.0
SGP,SINGAPORE,21495.0,3.282494,1.90614,0.689331,False,0.014333,48.9,0.1148,0.1148
SLE,SIERRA LEONE,2354.416619,0.077282,1.182345,0.161389,False,0.094222,27.81,0.0656,0.0656
SLV,EL SALVADOR,5536.151502,1.203984,1.577119,0.309666,False,0.152222,28.91,0.15,0.89
SWE,SWEDEN,27881.168142,0.867847,2.942913,0.858127,False,0.659222,18.22,0.0015,0.0089
SYR,SYRIA,14416.068314999999,0.595759,1.547808,0.41056,False,0.372222,37.44,0.0,0.0092
TGO,TOGO,1442.020536,0.062044,1.373799,0.153681,False,0.068111,41.47,0.0,0.0
THA,THAILAND,5560.35704,0.619897,1.547808,0.799826,False,0.152778,9.45,0.0,0.0
TTO,TRINIDAD&TOBAGO,17057.219903999998,2.280682,2.443765,0.253542,False,0.118333,30.33,0.7216,0.7216
TUN,TUNISIA,7930.157868,1.778064,1.420601,0.302762,False,0.409111,23.83,0.0,0.0099
TUR,TURKEY,7761.649098,0.689077,1.7023,0.377993,False,0.443667,11.26,0.0,0.018698
TWN,TAIWAN,16503.0,1.103194,2.136588,0.701098,False,0.278333,17.92,0.0,0.0
TZA,TANZANIA,1126.0,0.055888,1.527206,0.233958,False,0.068556,10.97,0.0,0.0001
UGA,UGANDA,1119.493884,0.542481,1.355513,0.227237,False,0.003667,12.97,0.0,0.0
URY,URUGUAY,12032.96577,2.019403,2.281561,0.267214,False,0.387222,17.07,0.1455,0.8633
USA,U.S.A.,35540.961174000004,0.543727,3.39234,0.944792,False,0.432222,2.56,0.7544,0.1335
VEN,VENEZUELA,19692.0,0.705428,1.821445,0.451441,False,0.116444,8.94,0.1455,0.8633
YEM,YEMEN,6695.912436,1.127467,1.01621,0.763889,False,0.170556,16.83,0.0,0.0095
ZAF,SOUTH AFRICA,9078.855975,2.638321,1.84925,0.366975,False,0.285889,8.9,0.0656,0.0656
ZMB,ZAMBIA,1915.776018,0.616375,1.716076,0.192708,False,0.171333,13.81,0.0082,0.0082
ZWE,ZIMBABWE,2378.009943,1.581452,1.706868,0.268819,False,0.198,11.27,0.0164,0.0164
