iso3,country,yl,K,ky_ratio,hc,hc_bl,yr_sch,mining_va,governance,openness,social_infra,distancefromeq,fr_trade,english_frac,we_lang_frac,rgdpo,emp,csh_i,delta,labsh
UKR,Ukraine,35049.870092,77311.068954,2.205745,3.1393,3.1393,11.0,0.070686,0.524008,0.51641,0.520209,0.560333,,0.0,0.011798,578290.5,16.499077,0.09269,0.026531,0.558441
URY,Uruguay,43490.099925,101583.450254,2.335783,2.703102,2.703102,8.8,0.004596,0.606151,0.692617,0.649384,0.387222,17.07,0.1455,0.8633,71122.789062,1.635379,0.155734,0.034055,0.473972
USA,United States,130106.741663,373130.386511,2.867879,3.746417,3.746417,13.6,0.016842,0.83254,0.870884,0.851712,0.432222,2.56,0.7544,0.1335,20595844.0,158.299591,0.221594,0.045969,0.597091
UZB,Uzbekistan,28361.139681,32639.515445,1.150853,,,,0.058352,,,,0.458889,,0.0,0.0056,414768.46875,14.624535,0.18179,0.052199,0.427632
VCT,St. Vincent and the Grenadines,30338.97236,90017.001484,2.967042,,,,0.0,,,,0.145889,79.41,0.779,0.779,1227.714355,0.040467,0.195048,0.024233,
VEN,Venezuela (Bolivarian Republic of),612.268012,77580.421938,126.709906,2.708622,2.708622,8.83,0.0,0.316171,0.252817,0.284494,0.116444,8.94,0.1455,0.8633,7160.106934,11.6944,0.110217,0.037972,0.428571
VGB,British Virgin Islands,80364.019422,249319.754814,3.10238,,,,0.0,,,,0.204778,,0.82,0.82,1122.182373,0.013964,0.222183,0.043338,0.380558
VNM,Viet Nam,14367.651905,29106.565021,2.02584,2.595035,2.595035,8.2,0.081927,0.499405,0.581072,0.540238,0.233667,,0.0,0.0,724123.375,50.399563,0.243582,0.054413,
YEM,Yemen,9368.982393,26190.584543,2.795457,1.619958,1.619958,3.6,0.039255,0.386607,0.377739,0.382173,0.170556,16.83,0.0,0.0095,51828.058594,5.531877,0.360231,0.029939,
ZAF,South Africa,39377.021128,92499.488263,2.349073,2.950929,2.950929,10.09,0.08087,0.544048,0.62864,0.586344,0.285889,8.9,0.0656,0.0656,734094.375,18.64271,0.160538,0.052857,0.570888
ZMB,Zambia,10866.765605,32037.72194,2.94823,2.307051,2.307051,6.97,0.162175,0.521627,0.542755,0.532191,0.171333,13.81,0.0082,0.0082,56783.714844,5.225448,0.313996,0.044661,0.390301
ZWE,Zimbabwe,5976.646385,11902.306578,1.991469,2.541946,2.541946,7.93,0.061681,0.372222,0.46727,0.419746,0.198,11.27,0.0164,0.0164,40826.570312,6.831017,0.077089,0.061469,0.533381
