iso3,country,yl,K,ky_ratio,hc,hc_bl,yr_sch,mining_va,governance,openness,social_infra,distancefromeq,fr_trade,english_frac,we_lang_frac,rgdpo,emp,csh_i,delta,labsh
GMB,Gambia,8213.079361,11349.886371,1.381928,1.579234,1.579234,3.41,0.004519,0.474107,0.650335,0.562221,0.149444,52.2,0.0,0.0,5655.292969,0.688572,0.119431,0.054499,
GNB,Guinea-Bissau,4557.122342,3001.736564,0.658691,,,,0.00034,0.461012,0.477233,0.469122,0.131667,42.24,0.0,0.0,3554.279053,0.779939,0.031187,0.028385,
GNQ,Equatorial Guinea,67607.877312,156244.736487,2.311043,,,,0.269887,,,,,,,,33510.15625,0.495655,0.070614,0.067281,
GRC,Greece,67270.068556,235019.102298,3.493665,3.296825,3.296825,11.72,0.004674,0.670933,0.691164,0.681048,0.422,27.01,0.0,0.0,284893.625,4.235073,0.162433,0.030523,0.55089
GRD,Grenada,27076.735631,62717.555219,2.316289,,,,0.0,,,,0.133889,81.25,0.7462,0.7462,1721.965698,0.063596,0.184363,0.041311,
GTM,Guatemala,19258.117383,31033.550978,1.611453,1.888891,1.888891,4.99,0.00731,0.458234,0.705732,0.581983,0.162444,22.04,0.0975,0.5785,136605.015625,7.093373,0.1552,0.03916,0.493273
GUY,Guyana,39609.09994,89257.315429,2.253455,2.547086,2.547086,7.95,0.210056,0.543552,0.675702,0.609627,0.075556,25.92,0.7134,0.7134,10184.115234,0.257116,0.247109,,
HKG,"China, Hong Kong SAR",105485.445264,354295.829982,3.358718,3.39234,3.39234,12.14,0.0,0.659325,0.918949,0.789137,0.247556,35.88,0.0246,0.0246,407575.75,3.86381,0.206425,0.034868,0.51853
HND,Honduras,13800.422317,31908.602652,2.312147,2.186802,2.186802,6.44,0.007277,0.48621,0.648832,0.567521,0.156667,27.58,0.1455,0.8633,52902.539062,3.8334,0.210907,0.050029,0.563505
HRV,Croatia,59083.737634,170397.097271,2.883993,3.346517,3.346517,11.94,0.004037,0.683532,0.639391,0.661462,0.508889,,0.0,0.0001,107392.039062,1.817624,0.264995,0.047501,0.590546
HTI,Haiti,3859.824767,14970.882198,3.878643,1.939151,1.939151,5.25,0.001763,0.289286,0.617237,0.453261,0.206111,20.44,0.0,0.0744,17503.060547,4.534678,0.278169,0.012516,
HUN,Hungary,60095.624021,171566.771079,2.854896,3.364771,3.364771,12.02,0.002823,0.694544,0.69047,0.692507,0.527778,26.92,0.0,0.0,283145.15625,4.711577,0.300991,0.048606,0.555423
IDN,Indonesia,23922.50223,65079.719491,2.720439,2.582712,2.582712,8.13,0.084219,0.559921,0.561863,0.560892,0.068667,4.47,0.0,0.0,3137931.0,131.170685,0.336446,0.041848,0.463751
IND,India,18428.989645,44437.900865,2.411304,2.233679,2.233679,6.65,0.023846,0.68631,0.59184,0.639075,0.317778,3.29,0.0,0.0,9170555.0,497.615723,0.270331,0.057922,0.521804
IRL,Ireland,221661.215502,614298.160112,2.771338,3.815837,3.815837,13.87,0.002217,0.838591,0.814534,0.826563,0.592556,33.85,0.7626,0.7626,501053.59375,2.260448,0.569862,0.072913,0.316836
IRN,Iran (Islamic Republic of),44637.734681,172184.102199,3.857366,2.72525,2.72525,8.92,0.12175,0.487103,0.462476,0.474789,0.396444,10.06,0.0,0.004199,1097856.625,24.59481,0.319203,0.039698,0.355819
IRQ,Iraq,53417.131433,94025.048273,1.760204,2.446235,2.446235,7.55,0.464677,0.415873,0.545393,0.480633,0.370333,19.14,0.0,0.0064,468582.53125,8.77214,0.145104,0.049673,0.296306
ISL,Iceland,93442.884911,305023.543465,3.264278,3.552885,3.552885,12.82,0.00111,0.889683,0.718453,0.804068,0.712556,33.08,0.0,0.0,17972.625,0.192338,0.253658,0.037035,0.641833
ISR,Israel,77690.245415,225484.574288,2.902354,3.459901,3.459901,12.43,0.0,0.807341,0.721163,0.764252,0.353111,54.17,0.011175,0.0178,328529.53125,4.22871,0.261468,0.04599,0.552985
ITA,Italy,96354.736083,332163.795558,3.447301,3.165022,3.165022,11.12,0.002736,0.633829,0.684945,0.659387,0.465556,13.97,0.0,0.019098,2466327.5,25.596329,0.24925,0.038039,0.522367
JAM,Jamaica,19975.359029,50806.343546,2.543451,2.897244,2.897244,9.82,0.034304,0.552579,0.773662,0.66312,0.2,22.19,0.7872,0.7872,24867.324219,1.2449,0.185008,0.032734,0.594869
JOR,Jordan,44316.548157,97339.958881,2.19647,2.997444,2.997444,10.32,0.022141,0.559921,0.725412,0.642666,0.355,68.18,0.0,0.0098,108987.234375,2.45929,0.184315,0.028756,0.490124
JPN,Japan,71979.552643,285770.285455,3.970159,3.524012,3.524012,12.7,0.00059,0.80377,0.777576,0.790673,0.396444,5.47,0.0,0.0,5036891.0,69.976692,0.24601,0.044165,0.563644
KAZ,Kazakhstan,59533.062682,113376.131813,1.904423,3.301312,3.301312,11.74,0.159508,0.47123,0.620152,0.545691,0.568667,,0.0,0.0164,525124.0625,8.820713,0.164432,0.060006,0.380724
KEN,Kenya,8883.236449,10890.332173,1.225942,2.156098,2.156098,6.3,0.008102,0.516567,0.637564,0.577066,0.014222,12.48,0.0,0.0,222738.46875,25.074022,0.145124,0.056109,0.682223
KGZ,Kyrgyzstan,14740.624871,18116.961996,1.22905,3.225861,3.225861,11.4,0.011044,,0.60063,,0.476333,,0.0,0.0108,39366.726562,2.670628,0.135344,0.03731,0.479844
KHM,Cambodia,8496.892332,11990.060097,1.411111,1.815934,1.815934,4.6,0.019318,,0.53196,,0.128333,,0.0,0.0,74190.304688,8.731463,0.189307,0.040801,
KOR,Republic of Korea,80702.370445,313999.161729,3.890829,3.698325,3.698325,13.41,0.001299,0.723115,0.723468,0.723292,0.417222,14.36,0.0,0.0,2162705.25,26.798534,0.326824,0.053137,0.517249
KWT,Kuwait,110037.556936,294357.153194,2.675061,2.204542,2.204542,6.52,0.433751,0.550595,0.610573,0.580584,0.326333,42.55,0.0,0.0098,261068.53125,2.37254,0.27942,0.065827,0.249493
LAO,Lao People's DR,15028.190002,30326.630812,2.017983,1.896538,1.896538,5.03,0.0,,0.525313,,0.199667,27.32,0.0,0.0,54384.285156,3.618818,0.243245,0.051534,0.397984
LBN,Lebanon,50512.482144,155239.304215,3.073286,,,,0.004174,0.563492,0.517978,0.540735,0.376333,,0.0,0.0093,101120.851562,2.001898,0.260977,0.035688,0.444804
LBR,Liberia,3237.853298,7404.310865,2.286796,1.803141,1.803141,4.53,0.02337,0.457937,0.528277,0.493107,0.07,29.81,0.1312,0.1312,6212.169922,1.918608,0.196223,0.058469,
LCA,Saint Lucia,31093.052411,73047.188599,2.349309,,,,0.0,,,,0.155778,68.83,0.1558,0.1558,2602.488525,0.0837,0.207747,0.040375,
LKA,Sri Lanka,34642.764024,74594.457041,2.153248,2.911068,2.911068,9.89,0.027042,0.52123,0.640563,0.580896,0.076889,13.94,0.0,0.0,283395.0,8.180496,0.208044,0.065029,0.411475
LSO,Lesotho,8589.287597,27507.217214,3.202503,2.145237,2.145237,6.25,0.091886,,0.571763,,0.325778,20.66,,,5727.321289,0.666798,0.274695,0.039753,0.661129
LTU,Lithuania,64980.296152,145275.803107,2.23569,3.56014,3.56014,12.85,0.002998,0.651687,0.734144,0.692915,,,0.0,0.003299,89642.179688,1.379529,0.192188,0.045243,0.535493
LUX,Luxembourg,120936.155283,398552.566634,3.295562,3.303558,3.303558,11.75,0.000683,0.906151,0.756105,0.831128,0.551333,281.29,,,55710.792969,0.460663,0.295445,0.047551,0.562986
LVA,Latvia,62547.567954,190442.737851,3.044766,3.301312,3.301312,11.74,0.004925,0.658135,0.748952,0.703543,,,0.0,0.0104,56079.445312,0.896589,0.262078,0.032755,0.57135
MAC,"China, Macao SAR",154394.437386,336060.70021,2.176637,3.028175,3.028175,10.47,0.0,,,,,,,,59874.164062,0.3878,0.160303,0.035697,0.318656
MAR,Morocco,25081.780868,86623.803123,3.453654,1.964779,1.964779,5.38,0.026153,0.612996,0.647002,0.629999,0.378,12.71,0.0,0.0075,288999.75,11.522298,0.333597,0.052436,0.485401
