iso3,country,yl_adj,ky_ratio,hc,social_infra,si_was_imputed,distancefromeq,fr_trade,english_frac,we_lang_frac
ARE,United Arab Emirates,82439.11566122869,3.898494,2.770091,0.5788261286424577,True,0.269778,33.42,0.0,0.0077
ARG,Argentina,45195.62994129419,1.655583,2.836809,0.547449,False,0.384222,5.6,0.144,0.854458
AUS,Australia,97868.6547105234,2.951912,3.653333,0.842444,False,0.392,4.07,0.574,0.574
AUT,Austria,104614.29730230273,3.489063,3.065467,0.792487,False,0.535556,36.64,0.0,0.864
BDI,Burundi,1812.32906001072,1.179942,1.570792,0.5316558712452387,True,0.037556,24.86,0.0,0.0
BEN,Benin,8852.453789231025,1.427689,1.724764,0.5554857270273235,True,0.070778,42.2,0.0,0.0
BGD,Bangladesh,11377.21418455735,1.930918,2.085419,0.525952,False,0.263556,10.31,0.0,0.0
BGR,Bulgaria,42873.16370058266,2.134267,3.124393,0.616896,False,0.474222,31.12,0.0,0.0016
BHR,Bahrain,87148.08307597143,2.960649,2.438834,0.669425,False,0.291333,71.82,0.0,0.0055
BLZ,Belize,13751.484738655985,2.515466,3.028175,0.7475391916015778,True,0.191667,87.48,0.542704,0.542704
BOL,Bolivia (Plurinational State of),15583.854657393433,1.360149,2.652122,0.475606,False,0.183333,8.06,0.063,0.3738
BRA,Brazil,32175.006280146197,2.445665,2.443765,0.514014,False,0.175333,3.03,0.0,0.99
BRB,Barbados,26454.619776669973,3.758481,2.808021,0.743770924727346,True,0.145556,56.1,0.7708,0.7708
CAF,Central African Republic,2454.1425261220097,1.884134,1.749325,0.5176863203605258,True,0.048556,15.13,0.0,0.0
CAN,Canada,92022.56884707483,3.126849,3.62118,0.847461,False,0.504667,4.97,0.437144,0.437144
CHE,Switzerland,128949.01242903685,3.56522,3.688279,0.827676,False,0.521667,32.57,0.011175,0.576
CHL,Chile,48555.58311645152,2.601378,3.05922,0.720845,False,0.371667,7.25,0.1335,0.7921
CHN,China,25359.869471,3.874696,2.570447,0.512725,False,0.443556,2.3,0.0,0.0
CIV,C̫te d'Ivoire,16120.76245722634,1.135268,1.8908,0.482912,False,0.059444,16.58,0.0,0.0
CMR,Cameroon,8642.374256045288,1.65329,2.265488,0.499996,False,0.043,15.79,0.0,0.0
COG,Congo,9337.16928641724,3.423042,2.115117,0.434636,False,0.047444,25.77,0.0,0.0093
COL,Colombia,31293.921705971214,2.057099,2.815669,0.615922,False,0.051111,7.54,0.1485,0.8811
CRI,Costa Rica,41309.91582556306,1.81709,2.659345,0.622793,False,0.110333,23.37,0.144,0.8544
CYP,Cyprus,76467.07604179732,3.616993,3.42945,0.749781,False,0.390778,54.39,0.0,0.004
CZE,Czech Republic,72674.39156599842,3.37035,3.655818,0.713123,False,0.556444,21.07,0.0,0.0
DEU,Germany,95297.76094577933,2.946175,3.538419,0.811125,False,0.583556,18.47,0.0,0.0001
DNK,Denmark,103744.72237270098,3.251948,3.337426,0.839976,False,0.618556,30.89,0.0,0.0
DOM,Dominican Republic,36830.36056244976,2.034496,2.587986,0.560613,False,0.205222,22.37,0.1485,0.8811
DZA,Algeria,34263.23762646891,4.11776,2.309382,0.474103,False,0.408333,13.97,0.0,0.0062
ECU,Ecuador,22258.525389536266,2.778653,2.623423,0.541837,False,0.002444,11.42,0.1395,0.8277
EGY,Egypt,40186.36081691712,0.925251,2.339904,0.441084,False,0.333889,11.75,0.0,0.0095
