iso3,country,yl,rgdpo,emp,pop,K,ky_ratio,hc,hc_bl,hc_pwt,yr_sch,mining_va,governance,openness,social_infra,distancefromeq,fr_trade,english_frac,we_lang_frac,delta,labsh,csh_i
TUN,Tunisia,20926.363613,45470.75,2.172893,7.880332,56175.451291,1.23542,1.420601,1.420601,1.5163,2.62,0.051076,0.515923,0.093023,0.304473,0.409111,23.83,0.0,0.0099,0.04293,0.551501,0.083769
TUR,Turkey,32491.95207,573380.4375,17.646845,52.053765,1428817.222028,2.491918,1.7023,1.7023,1.762154,3.97,0.015394,0.503003,0.162791,0.332897,0.443667,11.26,0.0,0.018698,0.044087,0.384998,0.254478
TWN,Taiwan,45241.507127,384007.40625,8.487945,19.839704,849172.146458,2.211343,2.136588,2.136588,2.263808,6.21,,0.6822,0.674419,0.678309,0.278333,17.92,0.0,0.0,0.047777,0.746274,0.313304
TZA,U.R. of Tanzania: Mainland,2738.230369,27297.107422,9.968886,23.670808,59932.096747,2.195548,1.527206,1.527206,1.311092,3.16,,0.398951,0.0,0.199476,0.068556,10.97,0.0,0.0001,0.040354,0.486729,0.168587
UGA,Uganda,3278.101078,14622.608398,4.460695,16.180124,23672.163344,1.618874,1.355513,1.355513,1.410597,2.27,0.004009,0.399166,0.16129,0.280228,0.003667,12.97,0.0,0.0,0.062135,,0.160923
UKR,Ukraine,,,,,-1792317.529288,,2.603873,2.603873,,8.25,,0.323778,,,0.560333,,0.0,0.011798,,0.523279,
URY,Uruguay,24615.01942,30096.746094,1.222698,3.068705,74591.919698,2.478405,2.281561,2.281561,2.319304,6.86,0.001745,0.666386,0.046512,0.356449,0.387222,17.07,0.1455,0.8633,0.027195,0.516889,0.154777
USA,United States,79440.341606,9489531.0,119.454811,247.372264,26936277.568155,2.838526,3.39234,3.39234,3.417534,12.14,0.015022,0.834829,1.0,0.917415,0.432222,2.56,0.7544,0.1335,0.034489,0.620666,0.260702
UZB,Uzbekistan,,,,,540837.94493,,,,,,0.062523,0.288219,,,0.458889,,0.0,0.0056,,0.470143,
VCT,St. Vincent and the Grenadines,22804.242148,726.503174,0.031858,0.106532,862.457866,1.187136,,,,,,0.725207,,,0.145889,79.41,0.779,0.779,0.032455,,0.127912
VEN,Venezuela (Bolivarian Republic of),27155.838236,163896.34375,6.0354,18.698847,700395.188723,4.273403,1.821445,1.821445,1.81739,4.63,0.218355,0.375551,0.302326,0.338938,0.116444,8.94,0.1455,0.8633,0.040549,0.422622,0.296307
VGB,British Virgin Islands,,119.336159,,0.016154,805.024435,6.745855,,,,,,,,,0.204778,,0.82,0.82,0.033107,,0.536612
VNM,Viet Nam,3016.344059,83525.96875,27.691128,65.120439,63114.993882,0.755633,1.763517,1.763517,1.724595,4.31,0.04705,0.397827,,,0.233667,,0.0,0.0,0.039235,,0.077079
YEM,Yemen,,,,,1621.731626,,1.01621,1.01621,,0.12,0.121156,0.350229,1.0,0.675115,0.170556,16.83,0.0,0.0095,,,
ZAF,South Africa,32515.922901,346601.4375,10.659437,35.100909,845083.297759,2.438199,1.84925,1.84925,1.899457,4.78,0.089839,0.61821,0.023256,0.320733,0.285889,8.9,0.0656,0.0656,0.043081,0.603168,0.168289
ZMB,Zambia,5810.128427,13008.361328,2.238911,7.598275,7050.137179,0.54197,1.716076,1.716076,1.784209,4.04,0.153061,0.351007,0.0,0.175503,0.171333,13.81,0.0082,0.0082,0.038775,0.445721,0.022048
ZWE,Zimbabwe,10320.508487,44219.578125,4.284632,9.849125,51961.304459,1.175075,1.706868,1.706868,1.76415,3.99,0.036853,0.455676,0.0,0.227838,0.198,11.27,0.0164,0.0164,0.032746,0.557591,0.109436
